lat,lon,amplitude_1014kgm,year,month,day,hour,minute,second,lat2,lon2,Msurf,Region Number,ID
65.28,-41.47,0.27,2006,3,4,23,5,20,65.75,-41.25,4.7,3,S200603042305X
65.26,-41.28,0.36,2006,4,29,11,39,12,65.25,-41.25,4.8,3,S200604291139X
71.81,-51.98,0.41,2006,5,1,6,44,32,72.25,-52.75,4.9,6,S200605010644X
69.31,-49.89,0.24,2006,6,24,10,48,32,69.25,-49.75,4.7,7,S200606241048X
65.32,-41.27,0.36,2006,7,10,18,13,36,65.25,-40.75,4.8,3,S200607101813X
68.75,-33.21,0.15,2006,7,16,3,15,28,69,-31,4.6,1,S200607160315X
71.86,-51.56,0.25,2006,7,16,6,41,52,73.25,-53.25,4.7,6,S200607160641X
69.22,-49.55,0.3,2006,7,25,4,51,44,68.75,-49.75,4.7,7,S200607250451X
77.49,-66.11,0.27,2006,8,10,18,45,20,77.5,-65.5,4.8,4a,S200608101845X
66.48,-38.19,0.32,2006,8,23,17,19,28,65.75,-37.75,4.7,2,S200608231719X
70.56,-28.44,0.31,2006,8,28,7,55,4,69.5,-25.5,4.6,8,S200608280755X
76.05,-59.78,0.72,2006,9,10,4,20,16,77.75,-57.25,4.9,4b,S200609100420X
76.07,-59.41,0.37,2006,10,9,4,3,12,76.5,-60.5,4.8,4b,S200610090403X
76.1,-59.49,0.35,2006,10,14,7,23,20,76,-58,4.8,4b,S200610140723X
75.55,-58.11,0.28,2006,11,5,9,13,4,75.75,-58.25,4.7,4c,S200611050913X
68.64,-33.12,0.58,2006,11,28,10,55,44,68.75,-32.75,4.9,1,S200611281055X
74.6,-56.39,0.2,2006,12,19,16,57,44,74.75,-57.75,4.8,4e,S200612191657X
66.31,-38.09,0.31,2007,4,22,8,55,4,66.25,-38.25,4.7,2,S200704220855X
76.06,-59.91,0.45,2007,4,23,21,56,56,75.25,-58.25,4.8,4b,S200704232156X
77.71,-66.28,0.26,2007,5,30,2,57,12,77.5,-63.5,4.7,4a,S200705300257X
76.01,-59.81,0.38,2007,6,9,5,16,56,75.75,-60.75,4.8,4b,S200706090516X
69.35,-49.78,0.48,2007,7,4,16,55,20,69.25,-49.75,4.9,7,S200707041655X
66.36,-38.35,0.48,2007,7,9,1,8,16,66.25,-37.25,4.8,2,S200707090108X
66.44,-38.29,0.28,2007,7,9,2,42,8,66.75,-38.25,4.7,2,S200707090242X
74.61,-56.08,0.18,2007,7,9,5,31,12,75,-57,4.6,4e,S200707090531X
68.65,-33.17,0.35,2007,7,20,0,36,16,69.25,-33.25,4.7,1,S200707200036X
75.94,-59.86,0.63,2007,7,24,23,3,12,77.25,-60.75,4.9,4b,S200707242303X
66.47,-38.49,0.35,2007,7,26,22,42,48,66.5,-38.5,4.7,2,S200707262242X
71.83,-51.55,0.24,2007,8,3,19,25,12,72.25,-52.25,4.8,6,S200708031925X
